customer_id,event_timestamp,event_type,amount,amount_direction,category,balance_before,balance_after,credit_limit,credit_utilization,days_to_next_due,intervention_flag,distress_label_30d,event_type_id,amount_bucket,balance_bucket,util_bucket,time_gap_days,time_gap_bucket,direction_flag,miss_flag,overdraft_flag
CUST_0000,2025-01-01 08:00:00,salary_credit,2972.01,credit,income,2637.72,5609.73,6000.0,0.1201,14,none,0,1,7,6,1,0.0,0,1.0,0,0
CUST_0000,2025-01-01 08:07:00,card_spend,49.33,debit,credit,5609.73,5609.73,6000.0,0.1283,13,none,0,13,2,6,1,0.004861111111111111,0,-1.0,0,0
CUST_0000,2025-01-01 08:14:00,card_spend,59.9,debit,credit,5609.73,5609.73,6000.0,0.1383,12,none,0,13,2,6,1,0.004861111111111111,0,-1.0,0,0
CUST_0000,2025-01-02 08:00:00,rent_payment,400.0,debit,housing,5609.73,5209.73,6000.0,0.1383,11,none,0,4,5,6,1,0.9902777777777778,0,-1.0,0,0
CUST_0000,2025-01-02 08:07:00,grocery_spend,65.99,debit,daily_needs,5209.73,5143.73,6000.0,0.1383,10,none,0,6,2,6,1,0.004861111111111111,0,-1.0,0,0
CUST_0000,2025-01-02 08:14:00,card_spend,39.56,debit,credit,5143.73,5143.73,6000.0,0.1449,9,none,0,13,2,6,1,0.004861111111111111,0,-1.0,0,0
CUST_0000,2025-01-03 08:00:00,rent_payment,400.0,debit,housing,5143.73,4743.73,6000.0,0.1449,8,none,0,4,5,5,1,0.9902777777777778,0,-1.0,0,0
CUST_0000,2025-01-04 08:00:00,grocery_spend,20.85,debit,daily_needs,4743.73,4722.88,6000.0,0.1449,7,none,0,6,1,5,1,1.0,1,-1.0,0,0
CUST_0000,2025-01-04 08:07:00,utility_payment,67.04,debit,utilities,4722.88,4655.85,6000.0,0.1449,6,none,0,5,2,5,1,0.004861111111111111,0,-1.0,0,0
CUST_0000,2025-01-05 08:00:00,loan_emi_due,384.0,debit,loan,4655.85,4655.85,6000.0,0.1449,2,none,0,8,5,5,1,0.9951388888888889,0,-1.0,0,0
CUST_0000,2025-01-05 08:07:00,loan_emi_paid,384.0,debit,loan,4655.85,4271.85,6000.0,0.1449,1,none,0,9,5,5,1,0.004861111111111111,0,-1.0,0,0
CUST_0000,2025-01-05 08:14:00,card_spend,6.99,debit,credit,4271.85,4271.85,6000.0,0.1461,0,none,0,13,1,5,1,0.004861111111111111,0,-1.0,0,0
CUST_0000,2025-01-05 08:21:00,card_spend,57.67,debit,credit,4271.85,4271.85,6000.0,0.1557,0,none,0,13,2,5,1,0.004861111111111111,0,-1.0,0,0
CUST_0000,2025-01-06 08:00:00,card_spend,38.57,debit,credit,4271.85,4271.85,6000.0,0.1621,0,none,0,13,2,5,1,0.9854166666666667,0,-1.0,0,0
CUST_0000,2025-01-06 08:07:00,card_spend,80.45,debit,credit,4271.85,4271.85,6000.0,0.1755,0,none,0,13,3,5,1,0.004861111111111111,0,-1.0,0,0
CUST_0000,2025-01-06 08:14:00,transportation_spend,29.31,debit,transport,4271.85,4242.54,6000.0,0.1755,0,none,0,7,2,5,1,0.004861111111111111,0,-1.0,0,0
CUST_0000,2025-01-09 08:00:00,grocery_spend,86.57,debit,daily_needs,4242.54,4155.97,6000.0,0.1755,0,none,0,6,3,5,1,2.9902777777777776,2,-1.0,0,0
CUST_0000,2025-01-10 08:00:00,card_spend,99.74,debit,credit,4155.97,4155.97,6000.0,0.1921,0,none,0,13,3,5,1,1.0,1,-1.0,0,0
CUST_0000,2025-01-10 08:07:00,transportation_spend,24.45,debit,transport,4155.97,4131.52,6000.0,0.1921,0,none,0,7,1,5,1,0.004861111111111111,0,-1.0,0,0
CUST_0000,2025-01-11 08:00:00,card_spend,54.79,debit,credit,4131.52,4131.52,6000.0,0.2013,0,none,0,13,2,5,1,0.9951388888888889,0,-1.0,0,0
CUST_0000,2025-01-11 08:07:00,card_spend,57.3,debit,credit,4131.52,4131.52,6000.0,0.2108,0,none,0,13,2,5,1,0.004861111111111111,0,-1.0,0,0
CUST_0000,2025-01-12 08:00:00,credit_card_payment_due,288.0,debit,credit,4131.52,4131.52,6000.0,0.2108,4,none,0,11,4,5,1,0.9951388888888889,0,-1.0,0,0
CUST_0000,2025-01-12 08:07:00,credit_card_payment_made,288.0,debit,credit,4131.52,3843.52,6000.0,0.1628,3,none,0,12,4,5,1,0.004861111111111111,0,-1.0,0,0
CUST_0000,2025-01-12 08:14:00,card_spend,61.28,debit,credit,3843.52,3843.52,6000.0,0.173,2,none,0,13,2,5,1,0.004861111111111111,0,-1.0,0,0
CUST_0000,2025-01-13 08:00:00,card_spend,77.12,debit,credit,3843.52,3843.52,6000.0,0.1859,1,none,0,13,3,5,1,0.9902777777777778,0,-1.0,0,0
CUST_0000,2025-01-13 08:07:00,card_spend,31.49,debit,credit,3843.52,3843.52,6000.0,0.1911,0,none,0,13,2,5,1,0.004861111111111111,0,-1.0,0,0
CUST_0000,2025-01-14 08:00:00,transportation_spend,31.54,debit,transport,3843.52,3811.98,6000.0,0.1911,0,none,0,7,2,5,1,0.9951388888888889,0,-1.0,0,0
CUST_0000,2025-01-15 08:00:00,card_spend,51.95,debit,credit,3811.98,3811.98,6000.0,0.1998,0,none,0,13,2,5,1,1.0,1,-1.0,0,0
CUST_0000,2025-01-15 08:07:00,transportation_spend,33.14,debit,transport,3811.98,3778.84,6000.0,0.1998,0,none,0,7,2,5,1,0.004861111111111111,0,-1.0,0,0
CUST_0000,2025-01-17 08:00:00,card_spend,54.62,debit,credit,3778.84,3778.84,6000.0,0.2089,0,none,0,13,2,5,1,1.9951388888888888,1,-1.0,0,0
CUST_0000,2025-01-18 08:00:00,loan_emi_due,384.0,debit,loan,3778.84,3778.84,6000.0,0.2089,2,none,0,8,5,5,1,1.0,1,-1.0,0,0
CUST_0000,2025-01-18 08:07:00,loan_emi_paid,384.0,debit,loan,3778.84,3394.84,6000.0,0.2089,1,none,0,9,5,5,1,0.004861111111111111,0,-1.0,0,0
CUST_0000,2025-01-18 08:14:00,card_spend,58.17,debit,credit,3394.84,3394.84,6000.0,0.2186,0,none,0,13,2,5,1,0.004861111111111111,0,-1.0,0,0
CUST_0000,2025-01-18 08:21:00,card_spend,51.69,debit,credit,3394.84,3394.84,6000.0,0.2272,0,none,0,13,2,5,1,0.004861111111111111,0,-1.0,0,0
CUST_0000,2025-01-18 08:28:00,utility_payment,48.22,debit,utilities,3394.84,3346.62,6000.0,0.2272,0,none,0,5,2,5,1,0.004861111111111111,0,-1.0,0,0
CUST_0000,2025-01-19 08:00:00,transportation_spend,13.87,debit,transport,3346.62,3332.75,6000.0,0.2272,0,none,0,7,1,5,1,0.9805555555555555,0,-1.0,0,0
CUST_0000,2025-01-21 08:00:00,card_spend,104.76,debit,credit,3332.75,3332.75,6000.0,0.2447,0,none,0,13,3,5,1,2.0,2,-1.0,0,0
CUST_0000,2025-01-22 08:00:00,card_spend,55.04,debit,credit,3332.75,3332.75,6000.0,0.2538,0,none,0,13,2,5,1,1.0,1,-1.0,0,0
